Vehicle_id,Pullin_time,,Pullout_time,If_turnaround,Vehicle_type,Route_sequence,
1,1980,,36000,0,1,7,
2,2580,,36000,0,1,7,
3,3180,,36000,0,1,7,
4,3780,,36000,0,1,7,
5,4380,,36000,0,1,7,
6,4980,,36000,0,1,7,
7,1100,,36000,0,2,13,
8,1700,,36000,0,2,13,NHL GC
9,2300,,36000,0,2,13,
10,2900,,36000,0,2,13,
11,3500,,36000,0,2,13,
12,4100,,36000,0,2,13,
14,3040,,36000,0,2,3,
15,3640,,36000,0,2,3,NHL GC
16,4240,,36000,0,2,3,
17,4840,,36000,0,2,3,
18,5440,,36000,0,2,3,
25,2860,,36000,0,2,6,
26,3460,,36000,0,2,6,
27,4060,,36000,0,2,6,NHL PS
28,4660,,36000,0,2,6,
29,5260,,36000,0,2,6,
30,5860,,36000,0,2,6,
31,3180,,36000,0,2,14,NHL GC
32,3780,,36000,0,2,14,
33,4380,,36000,0,2,14,
34,4980,,36000,0,2,14,
35,5580,,36000,0,2,14,
36,5020,,36000,0,2,9,
37,5260,,36000,0,2,9,
38,5620,,36000,0,2,9,
39,5860,,36000,0,2,9,
40,6220,,36000,0,2,9,
41,6460,,36000,0,2,9,
42,6820,,36000,0,2,9,
43,7060,,36000,0,2,9,
44,7420,,36000,0,2,9,
45,7660,,36000,0,2,9,
